Período;Região;Nº Total Receitas Prescritas Eletrónicas (Qt);Nº Embalagens Prescritas por DCI (CNPEM) (Qt);Nº Embalagens Prescritas por Marca por Exceção A (Qt);Nº Embalagens Prescritas por Marca por Exceção B (Qt);Nº Embalagens Prescritas por Marca por Exceção C (Qt);Nº Embalagens Prescritas Sem Necessidade de Justificação Técnica (Qt)
2025-05;ARS Algarve;165443;829084;206;808;32779;182033
2025-05;ARS Norte;1412809;7348102;2276;14203;189887;1729919
2025-06;ARS Centro;624884;3392365;624;6165;151517;881359
2025-06;ARS Norte;1343883;6432432;2002;13600;171152;1500361
2025-09;ARS Alentejo;160035;910165;103;1221;25791;263560
2025-10;ARS Alentejo;175812;972123;80;2252;29727;292912
2025-10;ARS Centro;757656;4214738;621;6831;184613;1132809
2025-10;ARS Norte;1718577;8709974;2211;16099;216936;2160434
2016-01;ARS Norte;3031685;4188975;9990;12767;313459;1341150
2016-03;ARS Norte;3056979;4363318;9819;12362;316219;1371906
2016-04;ARS Algarve;245951;395139;415;988;36295;115979
2016-05;ARS Centro;1096510;2285185;5852;4466;239934;675454
2016-06;ARS Alentejo;210282;537938;690;881;44813;169369
2016-07;ARS Norte;1713421;3854154;9893;10958;273217;1224275
2017-01;ARS Algarve;179656;475692;577;1099;37273;135729
2017-01;ARS Norte;1728060;4779363;10085;12933;285745;1469289
2017-02;ARS Alentejo;176180;542380;515;884;36712;171442
2017-02;ARS Centro;710848;2133869;4910;3586;195962;652738
2017-03;ARS Centro;839234;2581112;6453;4245;237529;798693
2017-04;ARS Alentejo;163381;515761;525;804;36413;167129
2017-08;ARS Lisboa e Vale do Tejo;1186981;4327827;9908;8910;188304;1015846
2017-09;ARS Centro;702018;2357714;6472;3803;196450;720905
2017-11;ARS Alentejo;181861;606781;658;933;40780;204243
2017-11;ARS Lisboa e Vale do Tejo;1496026;5529846;15213;12497;265969;1302949
2018-01;ARS Alentejo;210649;692468;770;1212;42076;221922
2018-01;ARS Centro;847761;2777731;7501;5567;211966;829617
2018-05;ARS Lisboa e Vale do Tejo;1517007;5718220;14108;14308;272963;1327302
